bsf: 1.25
act: 46830


runBB: 0.35
run1B: 0.52
run2B: 0.82
run3B: 1.11
runHR: 1.42
rnBIP: -0.07

runs-: 0.29
runs+: 0.59
wobas: 1.14

wobaBB: 0.72
woba1B: 0.91
woba2B: 1.26
woba3B: 1.59
wobaHR: 1.94

  |   H%  |  XB%  |  HR%  |  BB%  |   K%  |  wOBA |
SS Leal, A         20|  61/ 75      62/ 60 -32/-17 |  86 ( 78) | -3776--- | -+ | SS,IF,H       |              |         | 3B p2060 | St. Louis Cardinals  | +

**Arizona Diamo...** |     OVR      vL/vR   vRpl   |           |          | XC | 
SS Drysdale, E     17|  79/115/111  79/ 79 -14/ 19 | 145 (132) | -3455--- |  + | SS,IF,H       |  2           |         |    p3450 | Arizona Diamondbacks | +++++
1B Krohn, D        19|  71/118/111  75/ 70 -22/ 17 | 141 (128) | -5------ |  + | H             |  1           |         |     p239 | Arizona Diamondbacks | +++++
SP Norris, D       32| 113/113     118/110  10/ 19 | 134 (122) |          |  + | SP,P          |       $18Mx3 |  $6.16M |     p358 | Arizona Diamondbacks | **^
2B Breshears, B    24| 106/108     107/106  13/ 16 | 132 (120) | -25----- | +  | IF,H          |     $1.38M a |  $7.81M |    p2391 | Arizona Diamondbacks | **^
CF Taylor, B       32| 108/108     110/107  15/ 14 | 125 (114) | -2---978 |  + | CF,OF,H       |     $5.69Mx4 |  $8.91M | RF  p220 | Arizona Diamondbacks | **^
CF Trout, M        34| 109/108     110/109  16/ 14 | 125 (114) | -2---373 |  + | CF,OF,H       |       $12Mx3 |  $9.46M |    p3523 | Arizona Diamondbacks | ***
1B Fillion, R      21|  97/102      85/ 99   4/  8 | 121 (110) | -2------ |  + | H             |  3   $500k r |  $2.87M |    p2946 | Arizona Diamondbacks | +++++
SS Snyder, B       24|  94/103      93/ 94   1/ 11 | 121 (110) | -3565--- | +- | SS,IF,H       |  4   $500k r |  $1.22M | 3B p2166 | Arizona Diamondbacks | +++++
RF Mounce, R       27| 103/103     100/104  10/  9 | 117 (106) | -1---4-4 | -- | OF,H          |      $500k a |  $6.16M |     p689 | Arizona Diamondbacks | **^
CF Estill, J       21|  76/102/100  68/ 77 -17/  6 | 116 (106) | -2---357 | -+ | CF,OF,H       |  8           |         |    p1351 | Arizona Diamondbacks | ++++
CF Ojeda, L        21|  97/100     105/ 95   4/  6 | 116 (106) | -2---888 |    | CF,OF,H       |  6   $500k r |  $2.87M | LF p2185 | Arizona Diamondbacks | ++++-
 C Morgan, M       27|  94/ 94      94/ 94  15/ 15 | 116 (106) | 91------ |  + | C,H           |              |  $8.91M |     p278 | Arizona Diamondbacks | *
MR Atkison, H      33|  97/ 97     107/115   9/ 17 | 115 (105) |          |  + | MR,P          |       $10Mx2 |  $5.62M |     p663 | Arizona Diamondbacks | **^
3B Slater, A       33| 102/102     104/102   9/ 10 | 113 (103) | -3-6---- |  + | IF,H          |      $550k a |  $5.62M |    p3874 | Arizona Diamondbacks | *
SP Mengdon, D      27|  97/ 97      94/ 99  -6/  3 | 107 ( 97) |          | +  | SP,P          |      $500k r |         |     p845 | Arizona Diamondbacks | **^
SP Comer, K        33|  99/ 99      93/103  -4/  5 | 105 ( 96) |          |  + | SP,P          |      $1.4Mx3 |         |    p3996 | Arizona Diamondbacks | **
SP Acosta, C       25|  91/ 96      89/ 92 -12/  2 | 104 ( 95) |          | -+ | SP,P          |  7           |         | MR  p180 | Arizona Diamondbacks | +++++
CF Puma, J         23|  89/ 93      79/ 91  -4/ -1 | 103 ( 94) | -2---863 | ++ | CF,OF,H       |  9           |         |     p402 | Arizona Diamondbacks | +++-
SP Dotson, D       24|  87/ 94      76/ 94 -16/  0 | 102 ( 93) |          |  + | SP,P          |  5           |         |     p679 | Arizona Diamondbacks | +++++
SP Duty, B         31|  97/ 97     101/ 95  -6/  3 | 102 ( 93) |          |    | SP,P          |      $500k r |         |    p2779 | Arizona Diamondbacks | *^
SP Bailey, H       27|  94/ 94      97/ 93  -9/  0 | 101 ( 92) |          |  + | SP,P          |              |         | MR   p66 | Arizona Diamondbacks | *
CF Soriano, B      19|  59/ 89/ 86  51/ 60 -34/ -8 |  99 ( 90) | -2---363 |  + | CF,OF,H       |              |         |    p2820 | Arizona Diamondbacks | +++
1B Burgos, B       28|  93/ 93      84/ 94   0/ -1 |  98 ( 89) | -2------ |    | H             |              | $673.2k |    p2953 | Arizona Diamondbacks | *
RF Rodriguez, F    29|  93/ 93      94/ 93   0/ -1 |  98 ( 89) | -3---3-3 |  + | OF,H          |    $571.2k r | $673.2k |     p994 | Arizona Diamondbacks | **
3B Gasparini, M    32|  95/ 95      93/ 96   2/  3 |  98 ( 89) | -655---- |  - | IF,H          |     $1.19Mx3 |  $1.77M | 1B  p562 | Arizona Diamondbacks | **^
RF Ocallaghan, V   20|  67/ 87/ 86  60/ 69 -26/ -8 |  97 ( 88) | -1---3-4 | +- | OF,H          |              |         |    p1237 | Arizona Diamondbacks | ++-
1B Mosby, B        27|  92/ 92      77/ 95  -1/ -2 |  97 ( 88) | -4------ |    | H             |              | $673.2k |    p1386 | Arizona Diamondbacks | *
MR Wunsch, G       28|  87/ 87     104/100  -2/  5 |  97 ( 88) |          |    | MR,P          |      $500k a |         |    p1765 | Arizona Diamondbacks | *^
2B James, C        20|  59/ 89/ 86  59/ 59 -34/ -6 |  96 ( 87) | -26----- |  - | IF,H          |  T           |         |     p629 | Arizona Diamondbacks | +++-
CF Silverman, J    22|  77/ 88      73/ 78 -16/ -6 |  96 ( 87) | -2---353 |  - | CF,OF,H       |              |         |    p2918 | Arizona Diamondbacks | +++
CF Zullo, J        23|  79/ 89      72/ 80 -14/ -5 |  96 ( 87) | -2---266 |  - | CF,OF,H       |              |         |    p1685 | Arizona Diamondbacks | +++
CF Perez, S        27|  92/ 92      98/ 91  -1/ -2 |  96 ( 87) | -2---756 | -  | CF,OF,H       |      $500k a | $673.2k | LF  p139 | Arizona Diamondbacks | ***
CF Saleh, S        27|  92/ 92      95/ 92  -1/ -2 |  96 ( 87) | -4---636 | -  | CF,OF,H       |              | $673.2k | 1B p2562 | Arizona Diamondbacks | *
MR Konosuke, Y     32|  88/ 88      94/106  -1/  6 |  95 ( 86) |          |    | MR,P          |      $550k a | $673.2k | CL p1576 | Arizona Diamondbacks | ***^
 C Stiner, D       33|  87/ 87      87/ 87   8/  8 |  95 ( 86) | 95------ | -+ | C,H           |     $1.17Mx2 |  $5.07M |    p3849 | Arizona Diamondbacks | **
SP Masson, R       28|  91/ 91      89/ 91 -12/ -3 |  94 ( 86) |          |  + | SP,P          |        $3M a |         | MR p1952 | Arizona Diamondbacks | *
1B Chavez, J       22|  67/ 84/ 83  69/ 66 -26/-11 |  93 ( 85) | -3------ |  + | H             |              |         |    p1474 | Arizona Diamondbacks | +++
SS Hughes, J       25|  85/ 88      79/ 86  -8/ -4 |  93 ( 85) | -3-55--- | -  | SS,IF,H       | F            |         |     p166 | Arizona Diamondbacks | +++
 C Lopiccolo, J    25|  68/ 83      71/ 68 -11/  4 |  93 ( 85) | 5------- |    | C,H           |              |         |    p1606 | Arizona Diamondbacks | +++
SS Ramirez, J      33|  92/ 92      91/ 92  -1/  0 |  92 ( 84) | -2765536 |    | SS,CF,IF,OF,H |              | $673.2k | 2B p4667 | Arizona Diamondbacks | *^
1B Pearson, R      21|  66/ 81/ 80  67/ 66 -27/-14 |  91 ( 83) | -4------ |  + | H             |              |         |    p2093 | Arizona Diamondbacks | ++
SS Wilson, G       22|  72/ 83      73/ 71 -21/ -9 |  91 ( 83) | -3-57--- |  - | SS,IF,H       |              |         |    p3229 | Arizona Diamondbacks | ++
SS Sanchez, G      26|  78/ 85      79/ 78 -15/ -7 |  91 ( 83) | -3657--- |    | SS,IF,H       |      $555kx2 |         |    p1241 | Arizona Diamondbacks | *
MR Casanova, D     33|  87/ 87      99/101  -2/  5 |  91 ( 83) |          |  - | MR,P          |     $1.85M a |         |     p431 | Arizona Diamondbacks | **^
DH Simpson, R      19|  59/ 79/ 78  63/ 58 -34/-16 |  90 ( 82) | -2------ |    | H             |              |         | SS p2546 | Arizona Diamondbacks | ++-
2B Kiemon, K       22|  66/ 80      66/ 66 -27/-12 |  90 ( 82) | -25----- |  + | IF,H          |              |         |    p2764 | Arizona Diamondbacks | +++
SS Worm, E         22|  72/ 80      72/ 72 -21/-12 |  90 ( 82) | -34-74-- |  + | SS,IF,OF,H    |              |         |     p742 | Arizona Diamondbacks | ++-
 C Gomez, R        17|  56/ 77/ 75  56/ 56 -23/ -4 |  89 ( 81) | 4------- |    | C,H           |              |         |     p109 | Arizona Diamondbacks | ++
3B Dupree, M       22|  67/ 80      71/ 66 -26/-12 |  89 ( 81) | -3-5---- | -+ | IF,H          |              |         |     p737 | Arizona Diamondbacks | ++
SS Marenco, R      20|  60/ 77/ 76  60/ 60 -33/-16 |  88 ( 80) | -3--6--4 |  + | SS,IF,OF,H    |              |         |    p2556 | Arizona Diamondbacks | ++

**Colorado Rockies** |     OVR      vL/vR   vRpl   |           |          | XC | 
3B Davalos, J      22| 111/118      98/113  18/ 26 | 153 (139) | -3-5---- | -+ | IF,H          |  4   $500k r | $10.56M |    p2544 | Colorado Rockies     | +++++
SP Tago, P         33| 122/122     126/120  19/ 28 | 150 (137) |          |    | SP,P          |        $6Mx2 | $11.11M |    p3746 | Colorado Rockies     | ***
SP McDaniel, D     23| 104/108     101/105   1/ 14 | 131 (119) |          |  + | SP,P          |  2   $500k r |  $1.22M |    p1412 | Colorado Rockies     | +++++
 C Austin, B       26|  95/102      95/ 95  16/ 23 | 130 (118) | 52------ |  - | C,H           |      $500k r |  $9.46M |    p2155 | Colorado Rockies     | **
MR Lake, M         22|  88/100      92/107  -1/ 20 | 129 (117) |          | -+ | MR,P          |              | $673.2k |     p203 | Colorado Rockies     | +++++
CF Grichuk, R      34| 112/111      98/114  19/ 17 | 128 (116) | -3---888 | -- | CF,OF,H       |     $16.5Mx2 | $11.11M |    p3476 | Colorado Rockies     | **^
CF Polson, G       25|  92/107      83/ 94  -1/ 13 | 125 (114) | -2---357 |  - | CF,OF,H       |  1           | $673.2k | RF  p425 | Colorado Rockies     | +++++
MR Archuleta, E    26|  86/ 98      93/102  -3/ 18 | 123 (112) |          | +  | MR,P          |      $500k r |         | SP  p485 | Colorado Rockies     | **
LF Fries, L        28| 105/105      98/106  12/ 11 | 122 (111) | -2---7-5 |    | OF,H          |    $928.6k a |  $7.26M |     p156 | Colorado Rockies     | **^
3B Echeverria, R   26| 101/103     108/100   8/ 11 | 120 (109) | -2-5---- |    | IF,H          |      $500k a |  $5.07M |     p435 | Colorado Rockies     | **
MR Servantes, J    22|  76/ 97/ 96  86/ 89 -15/ 15 | 119 (108) |          | -  | MR,P          |              |         |    p2162 | Colorado Rockies     | +++++
SS Chronister, J   19|  67/104/ 99  70/ 66 -26/  7 | 118 (107) | -35-5--- |    | SS,IF,H       |  5           |         |     p149 | Colorado Rockies     | +++++
SP Camacho, J      26|  93/102      85/ 97 -10/  8 | 117 (106) |          |  + | SP,P          |      $500k r |         |     p235 | Colorado Rockies     | ****^
2B Lovell, M       30| 102/102     102/102   9/ 10 | 116 (106) | -55----- |  + | IF,H          |      $500k a |  $5.62M | SS   p24 | Colorado Rockies     | **
1B Barrows, R      21|  82/ 99/ 98  87/ 81 -11/  4 | 113 (103) | -2------ |  + | H             |  6           |         |    p3219 | Colorado Rockies     | +++++
SS Marte, K        32| 101/101     104/100   8/  9 | 112 (102) | -499926- |  + | SS,CF,IF,OF,H |        $7Mx3 |  $5.07M |    p4681 | Colorado Rockies     | **^
SP Kabas, M        22|  74/ 96/ 95  75/ 74 -29/  1 | 107 ( 97) |          | ++ | SP,P          |  3           |         |    p1741 | Colorado Rockies     | +++++
DH Arata, V        23|  68/ 98/ 95  66/ 68 -25/  1 | 106 ( 96) | -2------ | ++ | H             |  7           |         | 2B p2424 | Colorado Rockies     | +++++
 C Restivo, A      25|  76/ 89      86/ 75  -3/ 10 | 106 ( 96) | 5------- | +  | C,H           |              |         |    p1142 | Colorado Rockies     | +++
SP Acree, K        28|  97/ 97      90/101  -6/  3 | 106 ( 96) |          |  + | SP,P          |              |         |    p1819 | Colorado Rockies     | *
CF Roberts, C      26|  93/ 96      97/ 92   0/  2 | 105 ( 96) | -2---873 |  + | CF,OF,H       |      $500k a | $673.2k |    p2675 | Colorado Rockies     | *
SP Campbell, W     28|  96/ 96      97/ 95  -7/  2 | 104 ( 95) |          |  + | SP,P          |      $500k r |         |    p2612 | Colorado Rockies     | **^
3B Fontanals, D    23|  75/ 91      75/ 74 -18/ -1 | 100 ( 91) | -8-7---- |  + | IF,H          |              |         | 1B p3245 | Colorado Rockies     | +++
2B Ramos, P        20|  60/ 91/ 87  62/ 60 -33/ -5 |  99 ( 90) | -24----- |  + | IF,H          |              |         |    p2706 | Colorado Rockies     | +++
RF Lewis, P        22|  75/ 89      69/ 76 -18/ -5 |  99 ( 90) | -1-----4 |  + | OF,H          |              |         |    p2174 | Colorado Rockies     | ++-
SP Hague, D        26|  81/ 92      76/ 84 -22/ -2 |  99 ( 90) |          | +  | SP,P          |              |         |    p1761 | Colorado Rockies     | ****
MR Cottingham, K   25|  80/ 86      91/ 93 -10/  4 |  97 ( 88) |          |  + | MR,P          | F            |         |    p1904 | Colorado Rockies     | ++++-
SP Valderrama, J   18|  65/ 83/ 82  69/ 64 -38/-12 |  96 ( 87) |          |  + | SP,P          |  8           |         |     p177 | Colorado Rockies     | +++-
3B Winans, W       22|  75/ 86      76/ 75 -18/ -6 |  96 ( 87) | -379---- | +  | IF,H          |  T           |         |    p2023 | Colorado Rockies     | +++-
SS Sato, B         23|  70/ 89/ 88  73/ 69 -23/ -4 |  96 ( 87) | -38674-- |    | SS,IF,OF,H    |              |         | 3B p2028 | Colorado Rockies     | +++
2B Tomas, A        20|  70/ 82      72/ 69 -23/-10 |  94 ( 86) | -25--3-- |  + | IF,OF,H       |              |         |    p3281 | Colorado Rockies     | ++-
 C Nutter, W       21|  66/ 83/ 82  70/ 65 -13/  3 |  94 ( 86) | 6------- |  - | C,H           |              |         |    p1085 | Colorado Rockies     | ++-
SP Harrison, W     23|  67/ 86/ 85  65/ 67 -36/ -9 |  94 ( 86) |          |  + | SP,P          |              |         |    p1091 | Colorado Rockies     | +++
CF Buttler, W      20|  67/ 80      61/ 68 -26/-14 |  92 ( 84) | -2---378 |  + | CF,OF,H       |              |         | RF p3230 | Colorado Rockies     | ++-
2B Gaskill, C      24|  66/ 86/ 85  70/ 65 -27/ -7 |  92 ( 84) | -25----- |    | IF,H          |  9           |         |      p25 | Colorado Rockies     | +++-
3B Marciano, A     20|  64/ 80/ 79  59/ 64 -29/-13 |  91 ( 83) | -5-4---- |  + | IF,H          |              |         |    p3425 | Colorado Rockies     | ++
MR Villalobos, R   29|  84/ 84      97/ 97  -5/  2 |  91 ( 83) |          |  + | MR,P          |      $500k a |         |    p1088 | Colorado Rockies     | **^
DH Gonzales, A     25|  74/ 84      74/ 74 -19/-10 |  90 ( 82) | -3------ | +- | H             |              |         | SS p3070 | Colorado Rockies     | ++
 C Crepeau, E      18|  59/ 79/ 78  59/ 59 -20/ -1 |  89 ( 81) | 51------ | -- | C,H           |              |         |    p3448 | Colorado Rockies     | ++
MR Minder, B       21|  57/ 80/ 78  68/ 65 -35/ -4 |  89 ( 81) |          | +  | MR,P          |              |         |     p858 | Colorado Rockies     | +++++
RF Henriksen, R    24|  63/ 83/ 82  64/ 63 -30/-12 |  89 ( 81) | -2---2-6 |    | OF,H          |              |         |     p105 | Colorado Rockies     | ++-
LF Cardenas, R     17|  57/ 74/ 73  53/ 58 -36/-21 |  88 ( 80) | -2---5-4 |  + | OF,H          |              |         | RF p2714 | Colorado Rockies     | +
1B Wickersham, J   25|  70/ 80      63/ 71 -23/-14 |  88 ( 80) | -3------ | ++ | H             |              |         |     p305 | Colorado Rockies     | ++
1B Tetsuhiko, S    26|  78/ 82      76/ 78 -15/-12 |  88 ( 80) | -4------ | -+ | H             | F            |         |    p1022 | Colorado Rockies     | *
MR Hakuseki, J     28|  82/ 82      90/ 97  -8/  0 |  88 ( 80) |          |  + | MR,P          |      $710k a |         |    p2781 | Colorado Rockies     | **^
SS Bayles, T       17|  54/ 76/ 74  50/ 55 -39/-18 |  87 ( 79) | -3-98--- | -  | SS,IF,H       |              |         | 3B  p674 | Colorado Rockies     | ++
CF Carvalho, D     18|  54/ 75/ 73  50/ 55 -39/-21 |  87 ( 79) | -2---255 |  + | CF,OF,H       |              |         | RF  p547 | Colorado Rockies     | ++
3B Dossantos, B    22|  56/ 79/ 77  60/ 55 -37/-15 |  87 ( 79) | -3-6---- |  + | IF,H          |              |         |    p1797 | Colorado Rockies     | ++
SP Dow, P          24|  70/ 78      69/ 71 -33/-16 |  87 ( 79) |          | ++ | SP,P          |              |         |     p587 | Colorado Rockies     | +++-
MR Ereño, B        26|  71/ 79      92/ 78 -20/ -3 |  87 ( 79) |          | ++ | MR,P          |              |         |    p2735 | Colorado Rockies     | *^

**Los Angeles (...** |     OVR      vL/vR   vRpl   |           |          | XC | 
CF Cabrera, G      30| 119/119     119/120  26/ 25 | 149 (136) | -3---999 | +  | CF,OF,H       |       $15Mx2 | $14.95M |    p4647 | Los Angeles (N) D... | ****
 C Johnson, C      31| 113/113     120/111  34/ 34 | 149 (136) | 44-4---- | -+ | C,IF,H        | F    $7.5M   | $19.34M |    p4149 | Los Angeles (N) D... | ***^
MR Feliz, M        30| 108/108     122/126  21/ 29 | 140 (127) |          |    | MR,P          |       $20Mx5 | $12.21M | CL p2383 | Los Angeles (N) D... | ****^
CF Stanton, G      36| 118/109     120/117  25/ 15 | 135 (123) | -2---556 |  + | CF,OF,H       | F     $40M   |  $14.4M | LF p3478 | Los Angeles (N) D... | ****^
LF Abreu, C        33| 114/114     120/113  21/ 20 | 134 (122) | -3---5-4 |  - | OF,H          | F    $3.2M   | $12.21M | 1B  p236 | Los Angeles (N) D... | ***
 C Printz, R       28|  99/ 99     102/ 99  20/ 20 | 124 (113) | 4------- | -+ | C,H           |      $500k a | $11.66M |    p1551 | Los Angeles (N) D... | **^
SP Stollings, W    28| 105/105     101/108   2/ 11 | 122 (111) |          |  + | SP,P          |      $500k a |  $1.77M |    p1419 | Los Angeles (N) D... | **
SP Alcantara, R    33| 107/107     106/107   4/ 13 | 122 (111) |          | ++ | SP,P          | F     $35M   |  $2.87M |    p4627 | Los Angeles (N) D... | **^
CF Alcantara, Y    33| 104/104     109/103  11/ 10 | 116 (106) | -2---979 |  + | CF,OF,H       |      $4.5Mx3 |  $6.71M | RF p3575 | Los Angeles (N) D... | **^
MR Mansell, K      31|  96/ 96     108/113   7/ 15 | 112 (102) |          | -  | MR,P          |     $1.95M a |  $4.52M |     p110 | Los Angeles (N) D... | ***^
1B Ryles, R        21|  86/ 96      80/ 88  -7/  2 | 109 ( 99) | -4------ |  + | H             |  3           |         |    p3360 | Los Angeles (N) D... | +++-
MR Johnson, R      24|  81/ 90      91/ 95  -9/  9 | 107 ( 97) |          |  + | MR,P          |      $500k r |         | CL p1161 | Los Angeles (N) D... | ++++-
LF Pugsley, M      28|  96/ 96      93/ 96   3/  2 | 105 ( 96) | -1---2-- |  + | OF,H          |      $550k a |  $2.32M | 1B  p127 | Los Angeles (N) D... | **
SS Schoop, J       34|  99/ 98     102/ 99   6/  6 | 105 ( 96) | -37-7--- |  + | SS,IF,H       | F    $2.9M   |  $3.97M | 2B p2277 | Los Angeles (N) D... | **^
RF Richard, R      22|  69/ 94/ 92  60/ 70 -24/ -2 | 102 ( 93) | -3---338 |  + | CF,OF,H       |  4           |         |    p3078 | Los Angeles (N) D... | +++-
SS Cabrera, Y      35|  99/ 95     102/ 98   6/  3 | 102 ( 93) | -3666--- |  + | SS,IF,H       |       $10Mx3 |  $3.97M | 3B  p617 | Los Angeles (N) D... | **^
SP Davis, D        27|  94/ 94      89/ 97  -9/  0 | 101 ( 92) |          | +  | SP,P          |       $15Mx2 |         |     p795 | Los Angeles (N) D... | **^
SS Kiyomasu, T     33|  96/ 96      95/ 96   3/  4 | 101 ( 92) | -38-8--- |  + | SS,IF,H       |     $12.5M a |  $2.32M |    p3065 | Los Angeles (N) D... | **
 C Mireles, A      24|  69/ 86/ 85  70/ 69 -10/  6 | 100 ( 91) | 61------ | ++ | C,H           | F            |         |    p1917 | Los Angeles (N) D... | ++-
CF Villarreal, E   20|  59/ 87/ 84  57/ 60 -34/-10 |  97 ( 88) | -2---993 | ++ | CF,OF,H       |              |         | LF p2648 | Los Angeles (N) D... | +++
SP Boysen, W       23|  81/ 89      75/ 85 -22/ -5 |  97 ( 88) |          | +- | SP,P          |  2           |         | MR p1916 | Los Angeles (N) D... | +++++
SS Rodriguez, H    36|  99/ 90      95/100   6/ -2 |  97 ( 88) | -3999--- |  + | SS,IF,H       | F     $15M   |  $3.97M | 3B p1971 | Los Angeles (N) D... | ***
CF Macey, M        30|  93/ 93      83/ 95   0/ -1 |  94 ( 86) | -2---643 | -- | CF,OF,H       |      $500k r | $673.2k | LF p2209 | Los Angeles (N) D... | **^
LF Ocasio, I       21|  59/ 84/ 82  59/ 59 -34/-12 |  93 ( 85) | -2---5-3 |  + | OF,H          |              |         |    p3449 | Los Angeles (N) D... | ++
SP Holmes, D       25|  75/ 87      69/ 78 -28/ -7 |  93 ( 85) |          | +- | SP,P          |  1           |         | MR  p710 | Los Angeles (N) D... | +++++
2B Brown, J        21|  72/ 81      82/ 70 -21/-11 |  92 ( 84) | -364---- |  + | IF,H          |              |         |    p1719 | Los Angeles (N) D... | ++-
SP Starner, E      23|  73/ 83      80/ 70 -30/-11 |  91 ( 83) |          |    | SP,P          |  8           |         | MR p2399 | Los Angeles (N) D... | +++++
SS Marquez, L      29|  88/ 88      93/ 87  -5/ -4 |  90 ( 82) | -36-5--- | ++ | SS,IF,H       |              |         |    p1816 | Los Angeles (N) D... | *
LF Ferraro, G      19|  58/ 79/ 78  61/ 57 -35/-16 |  89 ( 81) | -2---5-4 |  - | OF,H          |              |         |     p238 | Los Angeles (N) D... | ++
1B Cubillas, C     20|  66/ 77      59/ 67 -27/-17 |  89 ( 81) | -4------ |  + | H             |              |         |     p992 | Los Angeles (N) D... | +-
RF Tax, L          26|  75/ 82      75/ 75 -18/-12 |  89 ( 81) | -2---3-8 |  + | OF,H          |              |         | DH p4718 | Los Angeles (N) D... | **
SP Pichardo, C     19|  51/ 78/ 75  49/ 52 -52/-19 |  88 ( 80) |          |  + | SP,P          |              |         |    p1573 | Los Angeles (N) D... | ++-
CF Sayles, R       20|  61/ 78/ 77  56/ 62 -32/-17 |  88 ( 80) | -2---383 |    | CF,OF,H       |              |         |     p418 | Los Angeles (N) D... | ++-
CF Dickerson, S    21|  69/ 78      73/ 68 -24/-16 |  88 ( 80) | -2---747 |    | CF,OF,H       |              |         | RF p2783 | Los Angeles (N) D... | ++
SP Reichenbach, J  22|  70/ 78      68/ 70 -33/-16 |  88 ( 80) |          |  + | SP,P          |              |         | MR  p499 | Los Angeles (N) D... | +++++
MR Wishart, P      23|  68/ 79      78/ 80 -24/ -3 |  88 ( 80) |          |  + | MR,P          |  6           |         | SP p2878 | Los Angeles (N) D... | +++
2B Carver, A       22|  77/ 78      89/ 75 -16/-14 |  87 ( 79) | -25----- |    | IF,H          |              |         |     p620 | Los Angeles (N) D... | ++
SS Starkes, J      22|  62/ 79/ 78  65/ 61 -31/-14 |  87 ( 79) | -3--9--- | -+ | SS,IF,H       |              |         |    p1792 | Los Angeles (N) D... | ++-
SP Siewert, B      25|  78/ 80      71/ 81 -25/-14 |  87 ( 79) |          |  + | SP,P          |              |         | MR p1724 | Los Angeles (N) D... | ++++-
2B Ciprian, J      28|  86/ 86      89/ 86  -7/ -6 |  86 ( 78) | -25----- |  + | IF,H          |      $560k r |         |    p2258 | Los Angeles (N) D... | *
3B Stuber, F       21|  63/ 74      57/ 65 -30/-18 |  85 ( 77) | -3-7---- |  + | IF,H          |              |         |    p2559 | Los Angeles (N) D... | +-
3B Esqueda, J      22|  66/ 77      59/ 67 -27/-15 |  85 ( 77) | -3-7---- |  - | IF,H          |              |         |      p94 | Los Angeles (N) D... | ++
DH Gardea, R       24|  62/ 80/ 79  63/ 61 -31/-15 |  85 ( 77) | -2------ |  - | H             | F            |         | SS p2349 | Los Angeles (N) D... | ++
MR Hartline, J     26|  74/ 78      85/ 86 -17/ -4 |  85 ( 77) |          |  + | MR,P          |      $500k r |         |    p2070 | Los Angeles (N) D... | *
SP Kuehl, J        18|  60/ 70      69/ 56 -43/-24 |  84 ( 76) |          |  + | SP,P          |              |         |    p3057 | Los Angeles (N) D... | ++-
MR Soto, S         19|  51/ 73/ 71  55/ 61 -41/-12 |  84 ( 76) |          |  + | MR,P          |              |         |    p3447 | Los Angeles (N) D... | +++++
3B Jeanlouis, T    20|  58/ 74/ 73  58/ 57 -35/-19 |  84 ( 76) | -3-6---- | -+ | IF,H          |              |         |    p3409 | Los Angeles (N) D... | ++
2B Calzada, G      21|  66/ 74      63/ 67 -27/-18 |  84 ( 76) | -25----- |    | IF,H          |              |         |    p1658 | Los Angeles (N) D... | ++
MR Hernandez, M    24|  70/ 75      75/ 84 -22/ -8 |  84 ( 76) |          | ++ | MR,P          |              |         |    p2437 | Los Angeles (N) D... | ++++
SP Mielke, R       24|  70/ 78      67/ 71 -33/-16 |  84 ( 76) |          |  - | SP,P          |  T           |         |    p1642 | Los Angeles (N) D... | +++

**San Diego Padres** |     OVR      vL/vR   vRpl   |           |          | XC | 
MR Zepeda, G       30| 114/114     128/133  28/ 36 | 155 (141) |          | ++ | MR,P          |     $1.83M a | $16.05M | CL p2168 | San Diego Padres     | ***^
RF Zimmer, B       27| 119/119     115/120  26/ 25 | 151 (137) | -3---3-3 | +- | OF,H          |     $2.82M a | $14.95M | 1B p2041 | San Diego Padres     | ***
MR Delisle, B      30| 112/112     130/131  26/ 34 | 148 (135) |          |  - | MR,P          |        $2Mx2 | $14.95M |     p750 | San Diego Padres     | **^
MR Deherrera, G    31| 112/112     129/129  26/ 34 | 148 (135) |          | -+ | MR,P          |     $1.47M a | $14.95M |     p165 | San Diego Padres     | ***
SP Curet, L        31| 119/119     114/122  16/ 25 | 146 (133) |          |    | SP,P          |     $1.93M a |  $9.46M |    p2740 | San Diego Padres     | **^
SP Windle, T       34| 120/119     120/120  17/ 25 | 144 (131) |          |  + | SP,P          | F     $20M   | $10.01M |    p4605 | San Diego Padres     | ***
SP Rhode, M        25| 104/114     103/105   1/ 20 | 141 (128) |          |  + | SP,P          |  2   $500k r |  $1.22M |      p77 | *CEI* San Diego P... | +++++
SP Garza, J        30| 114/114     102/121  11/ 20 | 138 (126) |          |  + | SP,P          |     $1.01M a |  $6.71M |     p215 | San Diego Padres     | **
LF Travis, S       24| 107/109     112/106  14/ 15 | 131 (119) | -4---3-3 | -+ | OF,H          |  1           |  $8.36M | 1B  p630 | San Diego Padres     | +++++
SS Baez, J         33| 111/111     101/113  18/ 19 | 131 (119) | -38883-7 |  + | SS,IF,OF,H    |       $20Mx2 | $10.56M | 3B   p41 | San Diego Padres     | ***^
SP Miller, S       35| 116/112     134/109  13/ 18 | 126 (115) |          |    | SP,P          | F     $20M   |  $7.81M |    p3137 | San Diego Padres     | **^
CF McElroy, C      32| 107/107     100/108  14/ 13 | 121 (110) | -3---545 |  - | CF,OF,H       |      $7.5Mx3 |  $8.36M | LF p3919 | San Diego Padres     | ***^
 C Hedges, A       33| 100/100     104/100  21/ 21 | 121 (110) | 74------ |    | C,H           | F     $20M   | $12.21M |    p3851 | San Diego Padres     | **^
